Nombre,Asignado a,Código,Estado,Historia
Backend: Implementación de API de Gestión de Actividades y Ejecuciones,DANIEL FELIPE GARCIA QUICENO,S-019,Completado,Creación y Edición de Actividades y su Programación de Fechas (Home/Historias/Creaci%C3%B3n%20y%20Edici%C3%B3n%20de%20Actividades%20y%20su%20Programaci%C3%B3%2029775267c23f8015b3bfea78f0270648.html)
Backend: Implementación de Lógica de Carga (Excel) de Empleados,DANIEL FELIPE GARCIA QUICENO,S-017,Completado,Carga Masiva de Empleados desde Archivo Excel (.xlsx) (Home/Historias/Carga%20Masiva%20de%20Empleados%20desde%20Archivo%20Excel%20(%20xl%2029775267c23f8097ab0dcef2e8cef876.html)
Backend: Implementación de API CRUD de Indicadores,DANIEL FELIPE GARCIA QUICENO,S-013,Completado,Gestión de Indicadores Estratégicos (Home/Historias/Gesti%C3%B3n%20de%20Indicadores%20Estrat%C3%A9gicos%2029775267c23f8065b7a1ddda580b7e8f.html)
Backend: Implementación de API CRUD de Proyectos y Acciones,DANIEL FELIPE GARCIA QUICENO,S-011,Completado,Gestión de Proyectos del Plan de Desarrollo y sus Acciones (Home/Historias/Gesti%C3%B3n%20de%20Proyectos%20del%20Plan%20de%20Desarrollo%20y%20sus%20%2029775267c23f805d9729d1bc48337db1.html)
Backend: Implementación de API de Métricas (Conteos y Agregaciones),DANIEL FELIPE GARCIA QUICENO,S-029,Completado,Visualización de Métricas de Participación en Dashboard (Home/Historias/Visualizaci%C3%B3n%20de%20M%C3%A9tricas%20de%20Participaci%C3%B3n%20en%20Dash%2029775267c23f8045a1c4e9c795443efb.html)
Frontend: Construcción de Vista de Login y Servicio Auth,DANIEL FELIPE GARCIA QUICENO,S-002,Completado,Autenticación de Usuarios y Cierre de Sesión (Home/Historias/Autenticaci%C3%B3n%20de%20Usuarios%20y%20Cierre%20de%20Sesi%C3%B3n%2029775267c23f80a29091e685e643851d.html)
Frontend: Construcción de Módulo de Gestión de Usuarios (Tabla/Form),DANIEL FELIPE GARCIA QUICENO,S-004,Completado,"Gestión de Cuentas de Usuario (Creación, Modificación y Deshabilitación) (Home/Historias/Gesti%C3%B3n%20de%20Cuentas%20de%20Usuario%20(Creaci%C3%B3n,%20Modificac%2029775267c23f809a9f78c9e6852fe547.html)"
Frontend: Construcción de Vistas del Flujo de Recuperación (3 pasos),DANIEL FELIPE GARCIA QUICENO,S-006,Completado,Recuperación de Contraseña (Flujo de Olvido) (Home/Historias/Recuperaci%C3%B3n%20de%20Contrase%C3%B1a%20(Flujo%20de%20Olvido)%2023675267c23f80eabc7fdd2af61c26bb.html)
Frontend: Implementación de Formulario en Perfil de Usuario,DANIEL FELIPE GARCIA QUICENO,S-008,Completado,Cambio de Contraseña (Autenticado) (Home/Historias/Cambio%20de%20Contrase%C3%B1a%20(Autenticado)%2023a75267c23f80a4a610c8144b81b9c4.html)
Frontend: Consumo de Servicio de Áreas y Refactor de Form. de Usuario,DANIEL FELIPE GARCIA QUICENO,S-010,Completado,Consultar la estructura organizacional para asignación y navegación (Home/Historias/Consultar%20la%20estructura%20organizacional%20para%20asigna%2029775267c23f804dab3cf2d40164e773.html)
Frontend: Construcción de Módulo de Gestión del Plan (Proyectos/Acciones),DANIEL FELIPE GARCIA QUICENO,S-012,Completado,Gestión de Proyectos del Plan de Desarrollo y sus Acciones (Home/Historias/Gesti%C3%B3n%20de%20Proyectos%20del%20Plan%20de%20Desarrollo%20y%20sus%20%2029775267c23f805d9729d1bc48337db1.html)
Frontend: Construcción de Módulo de Gestión de Indicadores,DANIEL FELIPE GARCIA QUICENO,S-014,Completado,Gestión de Indicadores Estratégicos (Home/Historias/Gesti%C3%B3n%20de%20Indicadores%20Estrat%C3%A9gicos%2029775267c23f8065b7a1ddda580b7e8f.html)
Frontend: Construcción de Componente de Carga de Archivos (Estudiantes),DANIEL FELIPE GARCIA QUICENO,S-016,Completado,Carga Masiva de Estudiantes desde Archivo Excel (.xlsx) (Home/Historias/Carga%20Masiva%20de%20Estudiantes%20desde%20Archivo%20Excel%20(%20%2029775267c23f80c78363c453861325be.html)
Frontend: Construcción de Componente de Carga de Archivos (Empleados),DANIEL FELIPE GARCIA QUICENO,S-018,Completado,Carga Masiva de Empleados desde Archivo Excel (.xlsx) (Home/Historias/Carga%20Masiva%20de%20Empleados%20desde%20Archivo%20Excel%20(%20xl%2029775267c23f8097ab0dcef2e8cef876.html)
Frontend: Construcción de Formulario de Actividades (con FormArray de fechas),DANIEL FELIPE GARCIA QUICENO,S-020,Completado,Creación y Edición de Actividades y su Programación de Fechas (Home/Historias/Creaci%C3%B3n%20y%20Edici%C3%B3n%20de%20Actividades%20y%20su%20Programaci%C3%B3%2029775267c23f8015b3bfea78f0270648.html)
Frontend: Construcción de Listado de Actividades y Modal de Fechas,DANIEL FELIPE GARCIA QUICENO,S-022,Completado,Consulta de Actividades Programadas (por Contexto Organizacional) (Home/Historias/Consulta%20de%20Actividades%20Programadas%20(por%20Contexto%20%2029775267c23f805ca159f39d41afffa8.html)
Frontend: Construcción de Vista Kiosco para Registro en Vivo,DANIEL FELIPE GARCIA QUICENO,S-024,Completado,Registro de Asistencia en Vivo (Kiosco RFID/Documento) (Home/Historias/Registro%20de%20Asistencia%20en%20Vivo%20(Kiosco%20RFID%20Docume%2029775267c23f807ca2fbde33d0523ead.html)
Frontend: Implementación de Lógica de Cierre en Vista Kiosco,DANIEL FELIPE GARCIA QUICENO,S-026,Completado,Finalización y Cierre de Registro de Actividad (Home/Historias/Finalizaci%C3%B3n%20y%20Cierre%20de%20Registro%20de%20Actividad%2029775267c23f80c8b048f8bcb72734ff.html)
Frontend: Construcción de Interfaz de Reportes (Manejo de Blob/Descarga),DANIEL FELIPE GARCIA QUICENO,S-028,Completado,Generación de Reporte Detallado de Asistencia por Contexto Organizacional (Home/Historias/Generaci%C3%B3n%20de%20Reporte%20Detallado%20de%20Asistencia%20por%20%2029775267c23f803b9b98f389e3933e72.html)
Frontend: Construcción de Dashboard (Gráficas y Tarjetas KPI),DANIEL FELIPE GARCIA QUICENO,S-030,Completado,Visualización de Métricas de Participación en Dashboard (Home/Historias/Visualizaci%C3%B3n%20de%20M%C3%A9tricas%20de%20Participaci%C3%B3n%20en%20Dash%2029775267c23f8045a1c4e9c795443efb.html)
Frontend: Actualizar flujo de modificación de usuarios.,DANIEL FELIPE GARCIA QUICENO,S-031,Completado,"Gestión de Cuentas de Usuario (Creación, Modificación y Deshabilitación) (Home/Historias/Gesti%C3%B3n%20de%20Cuentas%20de%20Usuario%20(Creaci%C3%B3n,%20Modificac%2029775267c23f809a9f78c9e6852fe547.html)"
